state,year,income_pc_nominal,income_pc_real,unemployment_rate
OH,2020,52852.0,64058.604707293016,8.258333333333333
OH,2021,57537.0,66607.8571630228,5.258333333333334
OH,2022,58300.0,62490.181923590884,3.966666666666667
OH,2023,61822.0,63645.45547214365,3.6666666666666665
OH,2024,64587.0,64587.0,4.3500000000000005
OK,2011,39694.0,55355.25331070993,5.566666666666666
OK,2012,41905.0,57253.827765471426,5.075
OK,2013,43607.0,58719.09434749247,5.116666666666666
OK,2014,45884.0,60798.89959920221,4.341666666666667
OK,2015,44279.0,58602.665003635455,4.283333333333333
OK,2016,42053.0,54963.17752247676,4.6499999999999995
OK,2017,43873.0,56145.94312571925,4.033333333333333
OK,2018,46030.0,57501.808320628465,3.2916666666666665
OK,2019,48177.0,59112.6481701261,3.1166666666666667
OK,2020,49993.0,60593.38956201657,6.3
OK,2021,54574.0,63177.73253410512,4.016666666666667
OK,2022,57929.0,62092.517129531676,3.0083333333333333
OK,2023,60871.0,62666.40548744551,3.1333333333333333
OK,2024,63671.0,63671.0,3.1999999999999997
OR,2011,37531.0,52338.842444809154,9.458333333333334
OR,2012,39128.0,53459.67719382808,8.708333333333334
OR,2013,39462.0,53137.63618549196,7.75
OR,2014,41654.0,55193.909944755665,6.641666666666667
OR,2015,44166.0,58453.11101313407,5.458333333333333
